DateTime,AddedIPs,RemovedIPs
1528857722,78,78
1528858922,60,60
1528860122,80,80
1528861323,37,37
1528862521,80,80
1528863721,80,80
1528864323,79,79
1528864922,80,80
1528865522,80,80
1528866121,80,80
1528867322,55,55
1528868521,80,80
1528869723,80,80
1528870921,45,45
1528872122,77,77
1528873321,80,80
1528874522,78,78
1528875722,73,73
1528876922,25,25
1528877522,80,80
1528878122,79,79
1528878722,80,80
1528879413,80,80
1528879921,80,80
1528880522,80,80
1528881122,80,80
1528881722,80,80
1528882923,74,74
1528883521,59,59
1528884121,73,73
1528885321,65,65
1528885922,80,80
1528886522,71,71
1528887721,80,80
1528888922,80,80
1528890122,72,72
1528891322,70,70
1528891922,80,80
1528892522,80,80
1528893721,68,68
1528894922,74,74
1528895521,80,80
1528896121,80,80
1528897321,75,75
1528898521,76,76
1528899722,68,68
1528900923,73,73
1528902121,58,58
1528903322,73,73
1528904522,71,71
1528905122,79,79
1528905721,80,80
1528906322,80,80
1528906921,80,80
1528908122,70,70
1528908722,79,79
1528909321,77,77
1528910522,72,72
1528911721,76,76
1528912922,79,79
1528914122,80,80
1528914721,80,80
1528915322,80,80
1528916522,80,80
1528917122,80,80
1528918921,80,80
1528919522,74,74
1528920121,78,78
1528921322,55,55
1528922521,77,77
1528923722,71,71
1528924321,80,80
1528924921,80,80
1528925522,80,80
1528926122,80,80
1528927322,74,74
1528928522,80,80
1528929722,14,14
1528931522,65,65
1528932122,79,79
1528933322,79,79
1528934522,79,79
1528935722,37,37
1528936922,48,48
1528938121,78,78
1528939322,69,69
1528940522,72,72
1528941722,75,75
1528942921,76,76
1528944122,80,80
1528944722,80,80
1528945322,80,80
1528946523,80,80
1528947121,80,80
1528947722,79,79
1528948323,80,80
1528948922,79,79
1528950122,78,78
1528951321,80,80
1528952522,79,79
1528953121,74,74
1528953721,80,80
1528954922,73,73
1528955522,79,79
1528956122,79,79
1528957321,80,80
1528957921,80,80
1528958522,80,80
1528959722,80,80
1528960922,80,80
1528961521,79,79
1528962122,80,80
1528962722,57,57
1528963322,77,77
1528963922,80,80
1528964521,78,78
1528965121,80,80
1528965721,80,80
1528966922,63,63
1528968122,32,32
1528968721,80,80
1528969321,80,80
1528970522,69,69
1528971722,80,80
1528972922,18,18
1528974122,51,51
1528975322,38,38
1528975921,80,80
1528976522,80,80
1528977721,79,79
1528978921,56,56
1528980121,67,67
1528981321,57,57
1528982521,80,80
1528983721,52,52
1528984922,78,78
1528985522,72,72
1528986122,4,4
1528987322,74,74
1528988521,71,71
1528989122,80,80
1528989722,80,80
1528990321,80,80
1528990922,80,80
1528992122,80,80
1528993322,80,80
1528993922,80,80
1528994522,80,80
1528995721,76,76
1528996321,80,80
1528996922,21,21
1528998123,80,80
1528998722,76,76
1528999321,80,80
1528999922,80,80
1529000521,77,77
1529001721,79,79
1529002921,65,65
1529003522,80,80
1529004122,80,80
1529005322,73,73
1529005922,73,73
1529006522,80,80
1529007721,79,79
1529008922,73,73
1529009521,80,80
1529010121,77,77
1529011321,78,78
1529011921,80,80
1529012522,80,80
1529013721,41,41
1529014922,64,64
1529016722,73,73
1529017322,80,80
1529018521,77,77
1529019122,77,77
1529019721,80,80
1529020922,80,80
1529022122,46,46
1529023322,78,78
1529024522,80,80
1529025722,78,78
1529026922,66,66
1529027522,80,80
1529028122,80,80
1529029322,78,78
1529029922,5,5
1529030522,63,63
1529031122,74,74
1529031722,80,80
1529032922,74,74
1529034122,79,79
1529035322,69,69
1529035923,80,80
1529036522,80,80
1529037722,78,78
1529038922,80,80
1529040122,78,78
1529041322,80,80
1529042522,44,44
1529043123,77,77
1529043721,80,80
1529044322,80,80
1529044922,80,80
1529046121,80,80
1529047322,71,71
1529047922,80,80
1529048522,77,77
1529049721,79,79
1529050322,80,80
1529050922,80,80
1529052122,74,74
1529053321,78,78
1529053922,80,80
1529054521,78,78
1529055721,68,68
1529056922,78,78
1529058122,74,74
1529059322,72,72
1529060522,80,80
1529061721,63,63
1529062921,76,76
1529063521,80,80
1529064121,71,71
1529065922,72,72
1529066522,80,80
1529067721,79,79
