DateTime,AddedIPs,RemovedIPs
1528771321,1,0
1528772522,1,0
1528773722,1,11
1528774921,0,2
1528776122,7,2
1528778521,1,4
1528780922,3,3
1528782121,2,0
1528783321,0,1
1528784521,0,2
1528785722,0,1
1528786922,5,2
1528788122,1,4
1528788722,0,1
1528790522,1,2
1528791121,2,1
1528792922,5,5
1528794121,8,12
1528795322,1,1
1528796522,2,5
1528798922,0,1
1528800122,1,2
1528801322,6,0
1528802522,7,0
1528803722,1,1
1528804922,0,1
1528806122,0,1
1528807322,1,0
1528808521,2,1
1528809721,1,4
1528813321,0,9
1528815123,5,2
1528815721,3,0
1528817522,2,1
1528818122,0,2
1528819321,2,9
1528820522,2,0
1528821722,1,5
1528822922,2,10
1528824121,6,0
1528825321,3,1
1528826522,0,9
1528827721,1,6
1528828922,1,4
1528830121,1,2
1528831322,1,1
1528832522,6,1
1528833722,5,7
1528834921,4,4
1528835522,0,4
1528836122,2,4
1528836721,6,0
1528837321,1,3
1528838521,4,4
1528839721,1,3
1528840922,8,3
1528842122,1,0
1528843321,7,0
1528844522,1,2
1528845722,4,0
1528846921,3,4
1528848122,4,2
1528849321,6,2
1528850522,1,0
1528851722,1,2
1528852921,6,3
1528853522,2,0
1528855322,0,7
1528857722,0,1
1528858922,14,0
1528859521,2,0
1528860722,2,1
1528861322,0,5
1528863721,0,1
1528864323,2,0
1528864922,8,0
1528867322,2,4
1528868521,1,0
1528869723,0,2
1528870322,12,0
1528870921,6,0
1528871522,2,0
1528872122,3,1
1528873321,1,6
1528874522,2,0
1528875722,1,0
1528876921,10,5
1528877522,3,0
1528878122,7,0
1528879412,4,3
1528879921,1,7
1528880522,2,0
1528881122,0,2
1528881722,2,4
1528884121,7,2
1528885321,5,0
1528886522,0,4
1528887721,4,0
1528888321,0,6
1528888922,0,1
1528892522,2,2
1528893721,7,1
1528894922,2,0
1528895521,1,5
1528896121,2,0
1528897321,4,1
1528898521,0,2
1528899122,1,0
1528899722,3,0
1528900322,3,1
1528901521,2,0
1528902121,0,3
1528903322,1,2
1528904522,1,0
1528905721,2,2
1528906921,8,1
1528908122,3,3
1528909321,3,0
1528910522,1,3
1528912922,0,2
1528914122,3,0
1528915322,8,5
1528916522,2,2
1528918921,4,7
1528920121,0,3
1528921322,2,0
1528922521,7,2
1528923722,2,9
1528924321,3,4
1528924921,2,3
1528925521,2,0
1528927322,4,8
1528928522,1,0
1528929122,1,5
1528929722,1,1
1528931522,2,4
1528932122,1,3
1528933921,1,6
1528934522,1,0
1528935122,0,6
1528936922,6,2
1528938121,5,0
1528938722,3,5
1528939322,1,0
1528939922,0,1
1528941722,1,1
1528943522,0,1
1528944122,0,13
1528945922,1,0
1528946523,0,4
1528947722,1,0
1528948922,4,3
1528949522,1,0
1528950121,2,3
1528951321,3,1
1528952522,2,2
1528954922,6,2
1528956122,1,0
1528956721,2,8
1528957321,2,0
1528959722,0,1
1528960922,6,2
1528962122,6,4
1528963321,1,8
1528964521,1,10
1528965121,0,4
1528966922,13,5
1528968122,11,1
1528969321,1,2
1528970522,2,7
1528971122,2,9
1528972321,0,1
1528972922,1,0
1528974122,2,2
1528975322,2,2
1528975921,1,2
1528976522,1,0
1528977721,0,1
1528978921,5,0
1528980121,2,13
1528981321,0,2
1528982521,2,1
1528983121,0,3
1528983721,0,3
1528984922,10,0
1528985522,4,3
1528986122,0,1
1528986722,2,1
1528987322,1,1
1528987922,4,0
1528990321,1,0
1528990922,0,1
1528991522,9,0
1528992122,3,0
1528993322,7,8
1528994522,4,0
1528995721,1,4
1528997522,1,0
1528998123,7,0
1528999321,1,0
1528999922,3,6
1529001721,0,6
1529002921,0,1
1529003522,2,2
1529005322,5,0
1529006522,7,4
1529007721,0,7
1529008922,6,3
1529010121,1,3
1529011321,1,5
1529012522,0,1
1529013721,11,1
1529014922,1,2
1529016722,4,4
1529017922,1,0
1529018521,1,0
1529019721,0,1
1529020922,7,8
1529022122,6,1
1529023322,2,3
1529024522,1,4
1529025722,1,2
1529026922,3,1
1529029322,0,1
1529030522,1,3
1529031722,2,0
1529032922,3,4
1529034122,2,0
1529034722,1,4
1529035922,0,2
1529037122,1,4
1529037722,6,0
1529038922,3,6
1529040122,0,4
1529040722,1,0
1529041322,0,3
1529041922,1,0
1529042522,2,4
1529043123,4,0
1529043721,1,0
1529044322,0,1
1529046121,3,8
1529047322,1,0
1529048522,1,5
1529049721,7,1
1529050922,1,0
1529052122,2,9
1529053321,1,0
1529053922,1,7
1529055721,2,4
1529056922,0,2
1529058122,1,0
1529059322,1,1
1529059922,7,1
