DateTime,Entries,UniqueIPs
1528713122,1365,1372
1528714921,1362,1369
1528718522,1363,1370
1528719722,1365,1372
1528720922,1365,1372
1528721521,1362,1369
1528724522,1358,1365
1528725722,1357,1364
1528726322,1367,1374
1528726921,1370,1377
1528729321,1373,1380
1528729921,1372,1379
1528730521,1370,1377
1528732322,1368,1375
1528734122,1372,1379
1528734722,1377,1384
1528735321,1377,1384
1528737122,1376,1383
1528737721,1372,1379
1528738922,1372,1379
1528740122,1379,1386
1528740722,1378,1385
1528741323,1380,1387
1528741922,1381,1388
1528743721,1378,1385
1528745521,1375,1382
1528746121,1372,1379
1528747921,1373,1380
1528748522,1377,1384
1528749122,1381,1388
1528749722,1383,1390
1528751521,1378,1385
1528753322,1376,1383
1528753922,1377,1384
1528755722,1376,1383
1528758121,1372,1379
1528759921,1371,1378
1528761722,1374,1381
1528762922,1376,1383
1528764121,1371,1378
1528765922,1372,1379
1528767721,1369,1376
1528768323,1368,1375
1528768922,1376,1383
1528771321,1374,1381
1528772522,1374,1381
1528773722,1375,1382
1528774921,1373,1380
1528776122,1380,1387
1528777322,1379,1386
1528778521,1378,1385
1528779122,1374,1381
1528780922,1373,1380
1528782121,1371,1378
1528784521,1370,1377
1528785722,1369,1376
1528786922,1362,1369
1528788122,1361,1368
1528789321,1360,1367
1528790522,1361,1368
1528791121,1360,1367
1528792922,1365,1372
1528794121,1364,1371
1528795322,1359,1366
1528796522,1347,1354
1528798922,1344,1351
1528800122,1345,1352
1528801322,1347,1354
1528802522,1350,1357
1528803722,1346,1353
1528806122,1343,1350
1528807322,1344,1351
1528808521,1341,1348
1528809721,1341,1348
1528810321,1340,1347
1528810922,1338,1345
1528813321,1337,1344
1528815123,1333,1340
1528815721,1332,1339
1528817522,1330,1337
1528819321,1330,1337
1528819922,1328,1335
1528820522,1326,1333
1528821722,1323,1330
1528822922,1323,1330
1528824121,1326,1333
1528825321,1326,1333
1528827721,1325,1332
1528828922,1326,1333
1528830121,1323,1330
1528831322,1319,1326
1528832522,1318,1325
1528833722,1313,1320
1528834921,1315,1322
1528835522,1303,1310
1528836122,1304,1311
1528836721,1301,1308
1528837321,1300,1307
1528838521,1301,1308
1528839721,1299,1306
1528840922,1303,1310
1528842122,1301,1308
1528843321,1303,1310
1528844522,1302,1309
1528845722,1295,1302
1528846921,1293,1300
1528848122,1293,1300
1528849321,1296,1303
1528851722,1290,1297
1528852921,1293,1300
1528853522,1294,1301
1528854122,1293,1300
1528855922,1292,1299
1528857722,1290,1297
1528858922,1299,1306
1528859521,1301,1308
1528860722,1296,1303
1528861921,1295,1302
1528863721,1294,1301
1528864323,1296,1303
1528864922,1301,1308
1528867322,1300,1307
1528869723,1299,1306
1528870322,1310,1317
1528870921,1314,1321
1528871522,1316,1323
1528872122,1315,1322
1528873321,1310,1317
1528874522,1310,1317
1528875722,1311,1318
1528876921,1318,1325
1528877522,1320,1327
1528878122,1323,1330
1528879412,1325,1332
1528881122,1324,1331
1528881722,1321,1328
1528884121,1325,1332
1528885321,1328,1335
1528886522,1325,1332
1528887721,1327,1334
1528888321,1326,1333
1528890122,1324,1331
1528891922,1321,1328
1528892522,1322,1329
1528893721,1325,1332
1528894922,1326,1333
1528895521,1323,1330
1528897321,1323,1330
1528899722,1326,1333
1528900322,1328,1335
1528901521,1330,1337
1528902121,1328,1335
1528903322,1327,1334
1528905721,1322,1329
1528906921,1330,1337
1528908122,1319,1326
1528909321,1322,1329
1528910522,1320,1327
1528912922,1319,1326
1528914122,1320,1327
1528915322,1315,1322
1528916522,1316,1323
1528918921,1312,1319
1528921322,1313,1320
1528922521,1317,1324
1528923722,1309,1316
1528924321,1312,1319
1528925521,1313,1321
1528927322,1315,1323
1528928522,1314,1322
1528929122,1315,1323
1528931522,1304,1312
1528933921,1305,1313
1528934522,1306,1314
1528935122,1303,1311
1528936922,1308,1316
1528938121,1308,1316
1528938722,1311,1319
1528940521,1307,1315
1528941722,1306,1314
1528945322,1304,1312
1528945922,1305,1313
1528947722,1306,1314
1528948922,1309,1317
1528949522,1310,1318
1528950121,1311,1319
1528951321,1312,1320
1528952522,1314,1322
1528954922,1318,1326
1528956721,1316,1324
1528957321,1317,1325
1528957921,1312,1320
1528958522,1311,1319
1528959722,1307,1315
1528960922,1313,1321
1528962122,1318,1326
1528963321,1319,1327
1528964521,1318,1326
1528965121,1316,1324
1528966922,1326,1334
1528968122,1331,1339
1528969321,1332,1340
1528970522,1327,1335
1528971122,1328,1336
1528972922,1327,1335
1528974122,1329,1337
1528974721,1326,1334
1528975322,1325,1333
1528977721,1323,1330
1528978921,1328,1335
1528980121,1330,1337
1528982521,1329,1336
1528983721,1328,1335
1528984922,1337,1344
1528985522,1341,1348
1528986722,1339,1346
1528987322,1338,1345
1528987922,1340,1347
1528989121,1339,1346
1528990922,1338,1345
1528991522,1346,1353
1528992122,1348,1355
1528993322,1352,1359
1528994522,1355,1362
1528995721,1354,1361
1528996321,1353,1360
1528996922,1351,1358
1528998123,1356,1363
1528999321,1357,1364
1528999922,1359,1366
1529000521,1356,1363
1529002921,1345,1352
1529005322,1343,1350
1529006522,1347,1354
1529007721,1341,1348
1529008922,1345,1352
1529010121,1343,1350
1529011321,1340,1347
1529012522,1337,1344
1529013721,1347,1354
1529014922,1346,1353
1529016722,1344,1351
1529017922,1343,1350
1529019721,1337,1344
1529020922,1333,1340
1529022122,1336,1343
1529023322,1334,1341
1529024522,1332,1339
1529025722,1327,1334
1529026922,1328,1335
1529028122,1327,1334
1529030522,1321,1328
1529031722,1323,1330
1529032922,1325,1332
1529034122,1327,1334
1529034722,1326,1333
1529035322,1323,1330
1529037122,1323,1330
1529037722,1328,1335
1529038922,1327,1334
1529041922,1328,1335
1529042522,1328,1335
1529043123,1332,1339
1529044322,1330,1337
1529046121,1326,1333
1529047322,1324,1331
1529048522,1323,1330
1529049721,1327,1334
1529050922,1321,1328
1529052122,1314,1321
1529053321,1313,1320
1529055721,1315,1322
1529056922,1314,1321
1529058122,1315,1322
1529059922,1321,1328
1529060522,1316,1323
1529063521,1315,1322
1529065922,1316,1323
1529067721,1312,1319
1529068322,1313,1320
1529068922,1314,1321
1529070121,1316,1323
1529071322,1318,1325
1529071922,1319,1326
1529072521,1320,1327
1529073722,1322,1329
1529074922,1318,1325
1529077323,1325,1332
1529078522,1333,1340
1529079722,1333,1340
1529080922,1334,1341
1529082122,1335,1342
1529083322,1336,1343
1529084521,1343,1350
1529085121,1338,1345
1529085722,1342,1349
1529087522,1341,1348
1529088722,1337,1344
1529089322,1338,1345
1529090522,1345,1352
1529091722,1346,1353
1529092922,1348,1355
1529094121,1349,1356
1529095322,1338,1345
1529095922,1339,1346
1529096522,1339,1346
1529097122,1334,1341
1529097722,1341,1348
1529098322,1342,1349
1529100121,1348,1355
1529101321,1342,1349
1529103122,1339,1346
1529103721,1338,1345
1529104922,1353,1360
1529105522,1360,1367
1529106122,1363,1371
1529107922,1363,1371
1529109124,1361,1369
1529110322,1359,1367
1529110922,1356,1364
1529111522,1357,1365
1529112123,1382,1390
1529113322,1387,1395
1529113922,1386,1394
1529114522,1386,1394
1529115721,1383,1391
1529116922,1383,1391
1529118122,1388,1396
