DateTime,Entries,UniqueIPs
1527483758,836,922
1527487360,836,922
1527490957,835,921
1527494620,834,920
1527498217,835,921
1527501758,839,925
1527505357,841,927
1527509018,842,928
1527512618,844,930
1527516217,845,931
1527519758,844,930
1527523358,846,932
1527526957,848,934
1527530557,847,933
1527534157,847,933
1527541358,847,933
1527545017,849,935
1527548557,848,934
1527552159,849,935
1527555757,850,936
1527559359,847,933
1527563017,847,933
1527566618,847,933
1527570217,845,931
1527573759,848,934
1527577419,847,933
1527580958,846,932
1527588159,849,935
1527591818,848,934
1527595358,850,936
1527599019,851,937
1527602618,851,937
1527606159,853,939
1527609758,853,939
1527613359,850,936
1527616958,849,935
1527620558,850,936
1527631358,851,937
1527638558,852,938
1527645758,846,932
1527649419,850,936
1527652960,850,936
1527656559,851,937
1527660158,850,936
1527663819,851,937
1527667421,849,935
1527670959,850,936
1527674559,847,933
1527681759,848,934
1527685359,846,932
1527688959,847,933
1527692559,845,931
1527696160,844,930
1527699760,846,932
1527703419,848,934
1527706960,846,932
1527707521,848,934
1527710581,856,944
1527714180,856,944
1527717780,857,945
1527721380,855,943
1527728581,855,943
1527732180,856,944
1527735780,853,941
1527739380,856,944
1527742980,850,938
1527746582,852,940
1527760980,851,939
1527764582,852,940
1527768181,855,943
1527771781,852,940
1527775381,855,943
1527778980,854,943
1527782580,852,941
1527786180,854,943
1527789120,854,943
1527793381,856,945
1527796981,857,946
1527800582,858,947
1527804181,860,949
1527807781,863,952
1527811382,865,954
1527814982,867,956
1527818582,873,962
1527822183,875,964
1527825782,871,960
1527829382,872,961
1527833004,872,961
1527836703,872,961
1527840182,873,962
1527847382,876,965
1527850983,877,966
1527854583,879,968
1527861782,882,970
1527865383,884,972
1527868923,885,973
1527872583,890,978
1527876183,891,979
1527879783,888,975
1527883383,889,976
1527886983,885,972
1527890583,886,973
1527894184,889,976
1527897783,891,978
1527901383,888,975
1527908582,886,973
1527912183,887,974
1527912183,887,974
1527912183,889,976
1527915782,886,973
1527922984,888,975
1527922984,888,975
1527922984,888,975
1527926582,888,975
1527926582,888,975
1527930186,884,971
1527930186,884,971
