DateTime,AddedIPs,RemovedIPs
1527226381,0,3
1527229981,1,0
1527233582,2,8
1527237182,0,4
1527240781,1,0
1527244381,0,4
1527251581,3,1
1527255181,2,0
1527258781,0,2
1527262381,6,1
1527265981,4,4
1527269581,3,4
1527273181,1,0
1527276781,0,2
1527280381,2,0
1527283981,5,1
1527287581,0,1
1527291181,1,0
1527295231,2,0
1527298832,0,1
1527301981,0,2
1527305581,1,1
1527309632,1,0
1527312782,0,2
1527316381,5,1
1527319982,1,0
1527324033,122,0
1527327632,1,1
1527330781,0,0
1527334382,1,3
1527338433,1,8
1527341581,113,0
1527345181,3,5
1527348781,0,0
1527352381,2,8
1527355981,2,0
1527359581,2,0
1527363181,2,1
1527366782,1,1
1527370381,0,0
1527373981,0,0
1527377581,1,1
1527381181,4,0
1527385238,2,1
1527388839,1,0
1527391981,0,0
1527395581,0,1
1527399181,0,0
1527402781,3,2
1527406381,3,2
1527409981,0,2
1527413582,3,0
1527420781,0,1
1527424381,3,1
1527431581,0,1
1527435181,5,0
1527438781,3,2
1527442381,2,3
1527445981,0,1
1527449581,4,1
1527453181,1,0
1527456782,4,0
1527460382,0,1
1527463981,4,1
1527467581,1,3
1527471181,0,2
1527474781,1,0
1527478381,2,1
1527481981,0,2
1527485582,2,0
1527489181,1,5
1527492781,0,3
1527496381,1,0
1527499981,2,3
1527503581,0,1
1527507181,0,1
1527510781,0,4
1527514381,3,0
1527521581,2,3
1527525190,2,3
1527528782,2,5
1527535982,3,0
1527539581,2,2
1527543181,2,0
1527550382,3,0
1527553981,1,0
1527561181,2,0
1527564781,0,1
1527571981,3,1
1527575582,0,3
1527579182,0,3
1527582782,3,0
1527586381,3,0
1527593581,3,8
1527597181,2,0
1527600781,2,6
1527607981,3,1
1527611581,1,6
1527615181,1,0
1527618781,1,0
1527622381,0,1
1527625982,1,4
1527636781,2,1
1527640381,1,0
1527643981,0,2
1527651181,4,3
1527654781,2,0
1527658381,0,4
1527661982,1,0
1527665582,1,0
1527669182,0,4
1527672781,2,2
1527679981,0,2
1527683581,4,0
1527687181,1,0
1527694381,4,2
1527697981,0,3
1527705181,1,1
1527708781,2,0
1527712381,5,0
1527719581,2,0
1527723181,3,0
1527730382,5,1
1527733981,3,3
1527737581,1,1
1527744781,1,0
1527748381,0,5
1527755581,0,3
1527759181,2,0
1527762781,0,2
1527766381,1,0
1527769982,0,3
1527773581,0,4
1527780781,4,1
1527784381,4,1
1527787981,1,0
1527791581,0,4
1527795181,3,0
1527798781,0,3
1527805981,2,3
1527809581,3,4
1527813181,1,0
1527816781,0,3
1527820381,3,0
1527823981,2,1
1527831181,1,0
1527841981,0,1
1527845581,0,1
1527849182,3,0
1527852781,0,1
1527856381,2,3
1527859981,5,3
1527863581,0,3
1527867182,2,5
1527870781,3,0
1527874381,1,1
1527881581,3,1
1527885181,2,1
1527892381,3,0
1527895981,0,2
1527899581,0,1
1527906781,1,1
1527910381,0,0
1527913981,1,4
1527917581,3,2
1527921631,2,0
1527924781,0,1
1527928381,1,1
1527931981,2,2
1527935581,1,0
1527939181,2,5
1527942781,0,2
1527946381,1,0
1527949982,0,2
1527953581,0,1
1527957632,2,3
1527960781,0,0
1527964381,2,2
1527967981,1,2
1527971581,2,1
1527975181,0,0
1527978781,0,4
1527982381,2,0
1527985981,2,1
1527989581,1,3
1527993631,3,0
1527996781,0,0
1528000381,2,3
1528003981,1,3
1528011182,1,0
1528018382,1,1
1528021981,0,3
1528025581,2,2
1528032782,0,1
1528039982,1,0
1528043581,2,3
1528047181,1,0
1528050781,1,1
1528054381,3,1
1528057981,1,0
1528061581,4,2
1528065181,1,0
1528068781,1,0
1528072381,1,1
1528075981,1,4
1528079581,0,1
1528083181,1,0
1528086782,0,2
1528090381,0,1
1528093981,0,2
1528101181,2,0
1528104781,7,2
1528108381,3,0
1528122782,0,1
1528126381,1,1
1528129981,3,9
1528137181,0,6
1528140782,1,0
1528144381,1,1
1528147981,2,0
1528151581,1,1
1528158781,1,4
1528162381,2,0
1528169581,1,2
1528173181,1,0
1528180381,5,1
1528183982,6,0
1528187581,0,5
1528191181,2,1
1528194781,1,0
1528198381,1,2
1528201981,1,1
1528209181,1,0
1528212781,4,1
1528219981,3,0
1528227181,0,3
1528230781,1,0
1528234382,1,1
1528241581,0,2
1528245181,1,0
1528248781,2,1
1528252381,1,0
1528255981,3,3
1528263181,3,6
1528266781,2,4
1528273981,3,0
1528277581,0,6
1528281181,3,0
1528284781,0,4
1528288381,1,0
1528291981,2,0
1528295581,1,0
1528299181,0,1
1528302781,3,0
1528306381,2,3
1528312233,4,1
1528317181,1,1
1528320781,2,0
1528324381,1,1
1528327981,0,0
1528332031,3,1
1528335181,0,1
1528338781,1,4
1528345981,0,1
1528349581,2,0
1528353181,2,2
1528360382,1,4
1528363981,1,2
1528367581,1,0
1528374781,1,5
1528378381,1,0
1528381981,0,4
1528385581,2,0
1528389181,0,3
1528396381,4,2
1528399981,0,4
1528403581,1,0
1528407181,0,1
1528410781,2,3
1528414381,0,1
1528417981,2,2
1528421581,2,0
1528425181,0,2
1528432381,1,0
1528435982,0,3
1528439581,4,0
1528443181,3,3
1528446781,0,2
1528450381,2,0
1528453981,2,1
1528461181,3,4
1528464781,4,0
1528468381,6,2
1528471981,2,2
1528475582,2,0
1528479181,1,2
1528482781,3,0
1528486381,0,3
1528489981,4,0
1528493581,1,0
1528497181,1,2
1528500781,4,0
1528504381,0,1
1528511581,0,2
1528515181,2,1
1528518781,4,0
1528525981,1,3
1528529581,2,2
1528533181,0,1
1528536781,3,1
1528540381,4,0
1528543981,0,2
1528547581,1,3
1528551181,3,2
1528558381,0,5
1528561981,1,3
1528569181,2,0
1528572781,1,0
1528576381,2,3
1528579982,0,3
1528583581,0,1
1528587181,1,4
1528597981,4,1
1528601581,0,1
1528605181,1,0
1528608781,4,1
1528612381,2,3
1528615981,5,0
1528623181,2,1
1528626781,0,3
1528630382,3,0
1528633982,3,1
1528637581,0,3
1528641181,0,3
1528644781,3,0
1528648381,0,3
1528651981,2,4
1528655581,0,1
1528659181,1,0
1528662781,0,3
1528666381,3,0
1528669981,3,0
1528673581,1,0
1528680781,1,2
1528684381,2,0
1528687981,0,2
1528691581,2,2
1528695181,3,2
1528702381,3,2
1528705982,1,3
1528709581,3,0
1528713181,2,4
1528720381,0,1
1528723982,0,1
1528727581,3,0
1528731181,0,1
1528734781,1,1
1528738381,2,0
1528741981,0,4
1528745581,1,0
1528749181,0,2
1528756381,1,3
1528763581,1,1
1528767181,2,0
1528770781,2,0
1528774381,3,0
1528777981,2,2
1528781581,4,2
1528785181,4,3
1528792382,1,1
1528795982,2,2
1528803181,2,3
1528806781,2,0
1528810381,1,5
1528813981,1,2
1528821181,1,2
1528828381,3,1
1528831981,5,1
1528835581,0,1
1528842781,2,0
1528846381,1,3
1528849981,0,3
1528853581,0,4
1528857181,3,0
1528860781,2,1
1528864381,0,6
1528867981,2,0
1528871581,2,4
1528875181,2,2
1528878781,0,1
1528882381,3,0
1528885981,1,5
1528889582,2,0
1528893181,0,1
1528896781,1,1
1528900381,6,2
1528903981,0,3
1528907581,0,1
1528914781,0,6
1528921981,2,0
1528925581,1,1
1528929181,1,0
1528932781,4,0
1528936381,3,1
1528939981,0,1
1528943581,1,2
1528947182,0,1
1528950781,3,0
1528954381,1,3
1528957981,1,0
1528961581,0,1
1528965181,5,2
1528968781,1,1
1528972381,1,2
1528975981,3,0
1528979581,3,0
1528983181,1,5
1528986781,1,0
1528990381,1,3
1528993981,2,0
1528997581,0,3
1529001181,1,0
1529004781,1,2
1529008381,1,1
1529011981,0,6
1529019181,0,2
1529022781,1,0
1529026381,2,0
1529029981,1,0
1529033581,4,0
1529037181,0,2
1529040781,1,0
1529044381,0,1
1529047981,1,2
1529051582,2,2
1529055181,2,0
1529058781,1,1
1529062381,4,0
1529065981,2,2
1529069581,1,0
1529073181,3,4
1529080381,1,0
1529083981,1,3
1529087581,0,1
1529091181,3,0
1529094781,0,1
1529098381,0,2
1529101981,4,0
1529109181,2,3
1529112781,0,2
1529119981,1,7
1529123581,1,0
1529127181,4,1
1529134381,0,1
1529137981,2,3
1529141582,2,4
1529145181,3,0
1529148781,1,7
1529152381,0,1
1529155981,1,0
1529163181,0,2
1529166781,1,1
1529170381,4,2
1529173981,3,0
1529177581,3,1
1529181181,0,2
1529184781,2,0
1529188381,0,5
1529191981,0,1
1529195581,2,2
1529199181,2,0
1529202781,1,0
1529206381,4,0
1529209981,2,1
1529213581,1,0
1529217181,2,1
1529220782,1,0
1529224381,3,1
1529227981,3,0
1529231581,2,7
1529235181,1,0
1529238781,3,0
1529242381,0,1
1529249581,1,0
1529253181,4,1
1529256781,2,0
1529260381,0,2
1529263982,0,1
1529271182,1,4
1529278382,0,1
1529281981,0,2
1529285581,1,4
1529289181,0,2
1529292781,0,5
1529296381,2,2
1529299981,3,1
1529303581,1,6
1529307181,1,0
1529310781,1,8
1529314382,2,0
