DateTime,AddedIPs,RemovedIPs
1527115233,14,15
1527121981,14,14
1527125581,13,12
1527132781,12,12
1527136381,9,11
1527139981,19,17
1527147181,15,13
1527150781,5,5
1527154381,10,13
1527161582,12,12
1527165181,10,10
1527172381,5,8
1527175981,13,10
1527179581,12,13
1527183181,13,13
1527186781,8,9
1527193981,12,13
1527197581,7,5
1527201181,11,13
1527204781,7,6
1527208382,6,8
1527215581,6,7
1527219181,7,7
1527222781,9,10
1527229981,14,11
1527233582,15,15
1527240781,17,19
1527244381,12,13
1527251581,15,15
1527255181,13,13
1527262381,16,15
1527265981,17,18
1527269581,8,11
1527273181,11,8
1527280381,14,10
1527283981,11,11
1527287581,0,0
1527291181,8,9
1527295231,3,4
1527298832,8,7
1527301981,0,0
1527305581,10,10
1527309632,11,14
1527312782,0,0
1527316381,56,0
1527319982,0,8
1527324033,56,0
1527327632,7,7
1527330781,0,0
1527334382,12,12
1527338433,10,10
1527341581,0,0
1527345181,14,13
1527348781,0,0
1527352381,10,10
1527355981,14,15
1527359581,14,10
1527363181,7,9
1527366782,8,9
1527370381,11,8
1527373981,6,7
1527377581,4,4
1527381181,10,10
1527385238,11,10
1527388839,5,6
1527391981,0,0
1527395581,11,13
1527399181,0,0
1527402781,18,16
1527406381,11,13
1527413582,15,13
1527417181,12,13
1527424381,17,16
1527427981,11,14
1527435181,17,16
1527438781,12,12
1527442381,20,19
1527449581,10,9
1527453181,12,11
1527456782,13,11
1527463981,8,7
1527467581,11,14
1527474781,11,14
1527478381,14,9
1527485582,10,11
1527489181,14,14
1527496381,11,10
1527499981,11,14
1527507181,12,9
1527510781,14,16
1527514381,13,16
1527521581,13,11
1527525190,11,10
1527528782,17,16
1527535982,12,11
1527539581,12,12
1527543181,10,12
1527550382,13,11
1527553981,10,16
1527561181,17,13
1527564781,10,12
1527571981,15,14
1527575582,11,14
1527582782,15,12
1527586381,6,7
1527593581,10,13
1527597181,10,8
1527600781,12,11
1527607981,12,11
1527611581,13,16
1527615181,10,9
1527618781,10,9
1527625982,11,10
1527629581,10,12
1527636781,12,12
1527640381,8,6
